scenario,policy,id,agent,task_type,arrival_minute,importance,urgency,current_claim_score,historical_reliability,policy_score,route,delivery_minute,synthetic_valid,synthetic_late_loss,synthetic_latest_useful_minute,synthetic_important_alert,synthetic_delivered_on_time,synthetic_late_loss_incurred
online,current_claim,E01,Evidence,evidence_check,1,0.9,0.9,0.9,0.9,0.9,interrupt,1,True,10.0,2,True,True,0.0
online,current_claim,E02,Evidence,evidence_check,4,0.7,0.6,0.65,0.9,0.65,interrupt,4,True,9.0,5,True,True,0.0
online,current_claim,E03,Evidence,evidence_check,5,0.65,0.648,0.649,0.9,0.649,queue,10,False,0.0,10,False,True,0.0
online,current_claim,E04,Evidence,evidence_check,9,0.4,0.3,0.35,0.9,0.35,queue,10,True,8.0,10,True,True,0.0
online,current_claim,E05,Evidence,evidence_check,11,0.35,0.348,0.349,0.9,0.349,digest,20,False,0.0,20,False,True,0.0
online,current_claim,E06,Evidence,evidence_check,14,0.8,0.7,0.75,0.9,0.75,interrupt,14,False,0.0,15,False,True,0.0
online,current_claim,P01,Planning,planning_risk,2,0.95,0.85,0.9,0.5,0.9,interrupt,2,True,10.0,3,True,True,0.0
online,current_claim,P02,Planning,planning_risk,5,0.7,0.6,0.65,0.5,0.65,interrupt,5,True,8.0,10,True,True,0.0
online,current_claim,P03,Planning,planning_risk,6,0.5,0.4,0.45,0.5,0.45,queue,10,False,0.0,10,False,True,0.0
online,current_claim,P04,Planning,planning_risk,10,0.35,0.35,0.35,0.5,0.35,queue,15,True,7.0,15,True,True,0.0
online,current_claim,P05,Planning,planning_risk,13,0.3,0.398,0.349,0.5,0.349,digest,20,False,0.0,20,False,True,0.0
online,current_claim,P06,Planning,planning_risk,17,0.8,0.6,0.7,0.5,0.7,interrupt,17,False,0.0,20,False,True,0.0
online,current_claim,I01,Idea,idea_suggestion,3,1.0,0.9,0.95,0.2,0.95,interrupt,3,False,0.0,5,False,True,0.0
online,current_claim,I02,Idea,idea_suggestion,4,0.8,0.8,0.8,0.2,0.8,interrupt,4,True,9.0,5,True,True,0.0
online,current_claim,I03,Idea,idea_suggestion,5,0.7,0.6,0.65,0.2,0.65,interrupt,5,False,0.0,10,False,True,0.0
online,current_claim,I04,Idea,idea_suggestion,9,0.4,0.3,0.35,0.2,0.35,queue,10,True,7.0,10,True,True,0.0
online,current_claim,I05,Idea,idea_suggestion,10,0.35,0.348,0.349,0.2,0.349,digest,20,False,0.0,15,False,False,0.0
online,current_claim,I06,Idea,idea_suggestion,18,0.9,0.7,0.8,0.2,0.8,interrupt,18,True,6.0,20,False,True,0.0
online,reputation_calibrated,E01,Evidence,evidence_check,1,0.9,0.9,0.9,0.9,0.81,interrupt,1,True,10.0,2,True,True,0.0
online,reputation_calibrated,E02,Evidence,evidence_check,4,0.7,0.6,0.65,0.9,0.585,queue,5,True,9.0,5,True,True,0.0
online,reputation_calibrated,E03,Evidence,evidence_check,5,0.65,0.648,0.649,0.9,0.5841,queue,10,False,0.0,10,False,True,0.0
online,reputation_calibrated,E04,Evidence,evidence_check,9,0.4,0.3,0.35,0.9,0.315,digest,20,True,8.0,10,True,False,8.0
online,reputation_calibrated,E05,Evidence,evidence_check,11,0.35,0.348,0.349,0.9,0.3141,digest,20,False,0.0,20,False,True,0.0
online,reputation_calibrated,E06,Evidence,evidence_check,14,0.8,0.7,0.75,0.9,0.675,interrupt,14,False,0.0,15,False,True,0.0
online,reputation_calibrated,P01,Planning,planning_risk,2,0.95,0.85,0.9,0.5,0.45,queue,5,True,10.0,3,True,False,10.0
